seg,power,vo2,cad,la,rf,hr,sat
1250,260,3386.5,99,5.7067,28.038,155.0,97
1251,260,3183.8,98,5.723,27.907,155.0,97
1252,260,3241.2,96,5.7393,27.907,156.0,97
1253,260,3298.7,95,5.7557,27.907,157.0,97
1254,260,3272.1,95,5.772,28.239,157.0,97
1255,260,3245.4,95,5.7883,28.571,157.0,97
1256,260,3515.2,95,5.8047,28.617,156.7,97
1257,260,3784.9,96,5.821,28.663,156.3,97
1258,260,4054.6,98,5.8373,28.708,156.0,97
1259,260,3720.2,99,5.8537,27.175,156.0,97
1260,260,3385.8,97,5.87,25.641,156.0,97
1261,260,3387,97,5.8798,26.273,157.0,97
1262,260,3388.1,97,5.8897,26.906,158.0,97
1263,260,3439.1,97,5.8995,26.273,158.0,97
1264,260,3490,97,5.9093,25.641,158.0,97
1265,260,3456.2,96,5.9192,26.023,158.3,97
1266,260,3422.3,96,5.929,26.404,158.7,97
1267,260,3388.5,95,5.9388,26.786,159.0,97
1268,260,3530.9,95,5.9487,28.699,158.5,97
1269,260,3673.2,96,5.9585,30.612,158.0,97
1270,260,3835.5,96,5.9683,30.458,156.0,97
1271,260,3997.8,96,5.9782,30.303,154.0,97
1272,260,3675.7,96,5.988,27.757,155.5,97
1273,260,3353.6,94,5.9978,25.21,157.0,97
1274,260,3175.1,92,6.0077,23.656,157.7,97
1275,260,2996.6,93,6.0175,22.102,158.3,97
1276,260,2818.1,94,6.0273,20.548,159.0,97
1277,260,3535.2,94,6.0372,26.063,159.0,97
1278,260,4252.3,96,6.047,31.579,159.0,97
1279,260,3657.7,98,6.0568,29.364,159.5,97
1280,260,3063.1,98,6.0667,27.149,160.0,97
1281,260,3115,96,6.0765,27.088,160.5,97
1282,260,3167,94,6.0863,27.027,161.0,97
1283,260,3234.5,94,6.0962,28.148,161.0,97
1284,260,3302,94,6.106,29.268,161.0,97
1285,260,3313.4,95,6.1158,28.333,161.0,97
1286,260,3324.7,95,6.1257,27.397,161.0,97
1287,260,3864.4,95,6.1355,28.774,160.5,97
1288,260,4404,97,6.1453,30.151,160.0,97
1289,260,4336.5,97,6.1552,31.204,160.0,97
1290,260,4269,95,6.165,32.258,160.0,97
1291,260,4072.1,94,6.1748,31.836,160.0,97
1292,260,3875.1,95,6.1847,31.414,160.0,97
1293,260,3840.9,95,6.1945,31.58,159.5,97
1294,260,3806.6,95,6.2043,31.746,159.0,97
1295,260,3832.7,95,6.2142,29.892,159.0,97
1296,260,3858.7,95,6.224,28.037,159.0,97
1297,260,3672,96,6.2338,28.17,159.5,97
1298,260,3485.2,95,6.2437,28.302,160.0,97
1299,260,3537.2,94,6.2535,29.076,160.0,97
1300,260,3589.1,93,6.2633,29.851,160.0,97
1301,260,3550.3,93,6.2732,27.965,160.3,98
1302,260,3511.6,94,6.283,26.079,160.7,98
1303,260,3472.8,95,6.2928,24.194,161.0,98
1304,260,3688,95,6.3027,25.14,161.5,98
1305,260,3903.2,94,6.3125,26.087,162.0,98
1306,260,3716.2,94,6.3223,26.201,161.5,98
1307,260,3529.2,95,6.3322,26.316,161.0,98
1308,260,3462.5,95,6.342,27.206,161.0,98
1309,260,3395.8,94,6.3518,28.096,161.0,98
1310,260,3329.1,94,6.3617,28.986,161.0,98
1311,260,4033.1,94,6.3715,34.286,159.0,98
1312,260,3815,93,6.3813,34.092,159.0,98
1313,260,3596.9,93,6.3912,33.898,159.0,98
1314,260,3785.8,94,6.401,32.656,159.5,98
1315,260,3974.7,95,6.4108,31.414,160.0,98
1316,260,3621.7,95,6.4207,28.35,160.3,98
1317,260,3268.8,95,6.4305,25.286,160.7,98
1318,260,2915.8,96,6.4403,22.222,161.0,98
1319,260,4233.8,95,6.4502,32.787,160.0,97
1320,260,4130.7,95,6.46,32.877,160.0,97
1321,260,4027.5,96,6.4656,32.967,160.0,97
1322,260,3905.4,97,6.4712,32.357,160.0,97
1323,260,3783.3,96,6.4768,31.746,160.0,97
1324,260,3716.6,95,6.4824,31.101,160.5,97
1325,260,3649.9,96,6.488,30.457,161.0,97
1326,260,3684.2,96,6.4936,29.313,161.0,97
1327,260,3718.4,95,6.4992,28.169,161.0,97
1328,260,3546.8,94,6.5048,28.169,161.0,97
1329,260,3375.3,95,6.5104,28.169,161.0,97
1330,260,3735.6,95,6.516,31.227,161.0,97
1331,260,4095.9,95,6.5215,34.286,161.0,97
1332,260,3402.1,95,6.5271,31.096,161.0,97
1333,260,2708.3,94,6.5327,27.907,161.0,97
1334,260,3172.1,92,6.5383,29.911,160.5,97
1335,260,3636,91,6.5439,31.915,160.0,97
1336,260,4017.5,90,6.5495,33.298,159.5,97
1337,260,4399.1,90,6.5551,34.682,159.0,97
1338,260,4004.5,90,6.5607,33.131,159.5,97
